"","downloaded","city","checkin","hotel_name","rating","stars","price_HUF","dist_center_km","dist_other_km","price_EUR","pricecat","price_avg","price_Sd","hotels","citytype"
"75","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Holland Lodge",2.9,2,16553,32,"Schiphol repülőtér. Amsterdam (AMS): 32",53.3967741935484,"below avg",175.168028673835,137.256432680785,180,"big"
"76","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hostel Princess",2.3,1,62462,1.6,"Schiphol repülőtér. Amsterdam (AMS): 10",201.490322580645,"avg",175.168028673835,137.256432680785,180,"big"
"77","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hostelle - Caters to Women",4.4,2,47782,7.5,"Schiphol repülőtér. Amsterdam (AMS): 13",154.135483870968,"avg",175.168028673835,137.256432680785,180,"big"
"78","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel 1900",3.3,3,24674,36,"Schiphol repülőtér. Amsterdam (AMS): 41",79.5935483870968,"avg",175.168028673835,137.256432680785,180,"big"
"79","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Abcoude",4.1,3,33416,13,"Schiphol repülőtér. Amsterdam (AMS): 16",107.793548387097,"avg",175.168028673835,137.256432680785,180,"big"
"80","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Avenue",3.6,3,108997,0.4,"Schiphol repülőtér. Amsterdam (AMS): 12",351.603225806452,"above avg",175.168028673835,137.256432680785,180,"big"
"81","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Bleecker",4.5,3,30606,19,"Schiphol repülőtér. Amsterdam (AMS): 14",98.7290322580645,"avg",175.168028673835,137.256432680785,180,"big"
"82","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Bloemendaal",4.4,3,28110,19,"Schiphol repülőtér. Amsterdam (AMS): 14",90.6774193548387,"avg",175.168028673835,137.256432680785,180,"big"
"83","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Chariot",3.9,4,36852,13,"Schiphol repülőtér. Amsterdam (AMS): 3.6",118.877419354839,"avg",175.168028673835,137.256432680785,180,"big"
"84","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Corona Zeist",3.6,3,27794,40,"Schiphol repülőtér. Amsterdam (AMS): 42",89.658064516129,"avg",175.168028673835,137.256432680785,180,"big"
"85","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel De Duif",3.6,3,25749,26,"Schiphol repülőtér. Amsterdam (AMS): 15",83.0612903225806,"avg",175.168028673835,137.256432680785,180,"big"
"86","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel De Herbergh Amsterdam Airport",4.1,3,44973,9.1,"Schiphol repülőtér. Amsterdam (AMS): 3.4",145.074193548387,"avg",175.168028673835,137.256432680785,180,"big"
"87","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel De Keizerskroon",3.4,3,22643,32,"Schiphol repülőtér. Amsterdam (AMS): 43",73.041935483871,"avg",175.168028673835,137.256432680785,180,"big"
"88","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel De Lange Jammer",4.7,3,25766,38,"Schiphol repülőtér. Amsterdam (AMS): 50",83.1161290322581,"avg",175.168028673835,137.256432680785,180,"big"
"89","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel de Nachtegaal",3.5,4,21551,25,"Schiphol repülőtér. Amsterdam (AMS): 14",69.5193548387097,"avg",175.168028673835,137.256432680785,180,"big"
"90","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel De Weyman",3.8,3,24674,18,"Schiphol repülőtér. Amsterdam (AMS): 16",79.5935483870968,"avg",175.168028673835,137.256432680785,180,"big"
"91","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Donatella",3.3,3,24987,17,"Schiphol repülőtér. Amsterdam (AMS): 12",80.6032258064516,"avg",175.168028673835,137.256432680785,180,"big"
"92","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Estheréa",4.7,4,117116,0.4,"Schiphol repülőtér. Amsterdam (AMS): 12",377.793548387097,"above avg",175.168028673835,137.256432680785,180,"big"
"93","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Heerlijkheid Bergen",3.6,3,24987,36,"Schiphol repülőtér. Amsterdam (AMS): 41",80.6032258064516,"avg",175.168028673835,137.256432680785,180,"big"
"94","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Iron Horse",4,3,100877,1.5,"Schiphol repülőtér. Amsterdam (AMS): 11",325.409677419355,"above avg",175.168028673835,137.256432680785,180,"big"
"95","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Isis",2.9,2,87446,1.9,"Schiphol repülőtér. Amsterdam (AMS): 14",282.083870967742,"above avg",175.168028673835,137.256432680785,180,"big"
"96","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Kap",3.1,2,160213,1.6,"Schiphol repülőtér. Amsterdam (AMS): 11",516.816129032258,"above avg",175.168028673835,137.256432680785,180,"big"
"97","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Luxer",4.2,3,90256,0.6,"Schiphol repülőtér. Amsterdam (AMS): 13",291.148387096774,"above avg",175.168028673835,137.256432680785,180,"big"
"98","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Mitland",4.3,4,37475,35,"Schiphol repülőtér. Amsterdam (AMS): 35",120.887096774194,"avg",175.168028673835,137.256432680785,180,"big"
"99","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Mosaic",3.7,3,178016,1.6,"Schiphol repülőtér. Amsterdam (AMS): 10",574.245161290323,"above avg",175.168028673835,137.256432680785,180,"big"
"100","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Notting Hill",4.4,4,99625,1.7,"Schiphol repülőtér. Amsterdam (AMS): 11",321.370967741935,"above avg",175.168028673835,137.256432680785,180,"big"
"101","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Okura Amsterdam",4.6,5,122269,2.7,"Schiphol repülőtér. Amsterdam (AMS): 11",394.416129032258,"above avg",175.168028673835,137.256432680785,180,"big"
"102","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Oostereiland - Gevangenis Hotel",3.7,2,24987,31,"Schiphol repülőtér. Amsterdam (AMS): 42",80.6032258064516,"avg",175.168028673835,137.256432680785,180,"big"
"103","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Promenade",NA,3,23424,32,"Schiphol repülőtér. Amsterdam (AMS): 38",75.5612903225806,"avg",175.168028673835,137.256432680785,180,"big"
"104","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Restaurant de Beurs",3.7,4,20302,16,"Schiphol repülőtér. Amsterdam (AMS): 4.2",65.4903225806452,"below avg",175.168028673835,137.256432680785,180,"big"
"105","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Stad en Land",3.8,3,25220,31,"Schiphol repülőtér. Amsterdam (AMS): 37",81.3548387096774,"avg",175.168028673835,137.256432680785,180,"big"
"106","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel The Crown",1.6,1,70270,0.5,"Schiphol repülőtér. Amsterdam (AMS): 13",226.677419354839,"avg",175.168028673835,137.256432680785,180,"big"
"107","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Theater Figi",4,4,19909,40,"Schiphol repülőtér. Amsterdam (AMS): 41",64.2225806451613,"below avg",175.168028673835,137.256432680785,180,"big"
"108","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel van Renenpark",3.2,3.5,31230,36,"Schiphol repülőtér. Amsterdam (AMS): 41",100.741935483871,"avg",175.168028673835,137.256432680785,180,"big"
"109","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Velsen",3.7,1,20302,22,"Schiphol repülőtér. Amsterdam (AMS): 20",65.4903225806452,"below avg",175.168028673835,137.256432680785,180,"big"
"110","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Victorie",3.4,3,74641,3,"Schiphol repülőtér. Amsterdam (AMS): 11",240.777419354839,"avg",175.168028673835,137.256432680785,180,"big"
"111","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotel Zwanenburg",3.7,3,40287,9.7,"Schiphol repülőtér. Amsterdam (AMS): 7.7",129.958064516129,"avg",175.168028673835,137.256432680785,180,"big"
"112","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hotelsuites de Driesprong",4.6,4,71833,22,"Schiphol repülőtér. Amsterdam (AMS): 24",231.71935483871,"avg",175.168028673835,137.256432680785,180,"big"
"113","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","ibis Leiden Centre",4.2,3,30606,36,"Schiphol repülőtér. Amsterdam (AMS): 24",98.7290322580645,"avg",175.168028673835,137.256432680785,180,"big"
"114","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Inntel Hotels Amsterdam Centre",4.2,4,113837,0.4,"Schiphol repülőtér. Amsterdam (AMS): 12",367.216129032258,"above avg",175.168028673835,137.256432680785,180,"big"
"115","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Inntel Hotels Amsterdam Zaandam",4.5,4,51716,8.8,"Schiphol repülőtér. Amsterdam (AMS): 15",166.825806451613,"avg",175.168028673835,137.256432680785,180,"big"
